category,Users,Volume,Transactions
Sat May 28 2022,578,1485359.49,445
Fri May 27 2022,624,2564180.38,448
Thu May 26 2022,721,3089417.03,577
Wed May 25 2022,653,3064682.25,479
Tue May 24 2022,606,1922168.39,451
Mon May 23 2022,761,1715389.58,548
Sun May 22 2022,678,719034.73,502
Sat May 21 2022,630,2288095.46,448
Fri May 20 2022,639,3616552.9,510
Thu May 19 2022,639,1491840.18,445
Wed May 18 2022,643,1750148.67,463
Tue May 17 2022,657,2459847.09,460
Mon May 16 2022,781,1434323.11,601
Sun May 15 2022,669,422734.64,446
Sat May 14 2022,680,1559519.37,468
Fri May 13 2022,797,1429715.66,588
Thu May 12 2022,695,2137538.84,531
Wed May 11 2022,730,5120290.6,564
Tue May 10 2022,718,13897243.71,567
Mon May 09 2022,840,3711181.84,722
Sun May 08 2022,789,1122337.54,599
Sat May 07 2022,772,501387.08,570
Fri May 06 2022,764,25162186.15,584
Thu May 05 2022,791,1654530.16,572
Wed May 04 2022,913,1966385.17,653
Tue May 03 2022,817,4452279,684
Mon May 02 2022,935,2810715.26,945
Sun May 01 2022,881,6469642.03,811
Sat Apr 30 2022,918,2502519.15,925
Fri Apr 29 2022,931,9717665.18,824
Thu Apr 28 2022,1063,2851009.61,988
Wed Apr 27 2022,1034,3806499.65,1010
Tue Apr 26 2022,967,16899342.27,866
Mon Apr 25 2022,963,7923121.59,916
Sun Apr 24 2022,988,3376377.97,853
Sat Apr 23 2022,946,3618719.62,812
Fri Apr 22 2022,810,2943661.73,780
Thu Apr 21 2022,981,3167889.19,852
Wed Apr 20 2022,1162,10713055.73,987
Tue Apr 19 2022,1116,3608543.59,1067
Mon Apr 18 2022,979,4450679.57,908
Sun Apr 17 2022,973,4013314.75,845
Sat Apr 16 2022,920,2834433.48,801
Fri Apr 15 2022,965,4248749.37,843
Thu Apr 14 2022,1047,5968085.94,805
Wed Apr 13 2022,1135,12364328.8,855
Tue Apr 12 2022,1099,7660961.14,1158
Mon Apr 11 2022,909,8085515.07,983
Sun Apr 10 2022,1054,6383226.25,915
Sat Apr 09 2022,1057,21021226.71,922
Fri Apr 08 2022,1310,2401248.86,1121
Thu Apr 07 2022,1505,5698018.55,1120
Wed Apr 06 2022,2157,8174917.18,1209
Tue Apr 05 2022,3795,5006168.31,1850
Mon Apr 04 2022,1209,35726987.56,1080
Sun Apr 03 2022,1294,3293319.54,1195
Sat Apr 02 2022,1492,3127786.08,1232
Fri Apr 01 2022,1618,5281318.53,1431
